id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,days_since_prev_campaign_contact,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed
id_37137,44,admin.,married,secondary,no,-2,no,no,unknown,26,may,76,3,,0,unknown,0
id_7180,52,technician,married,secondary,no,195,yes,no,cellular,17,dec,113,2,205,3,failure,0
id_18435,43,unemployed,single,primary,no,213,no,no,cellular,5,jun,573,3,,0,unknown,1
id_29397,53,services,divorced,primary,no,2298,yes,no,unknown,6,may,158,2,,0,unknown,0
id_16411,34,blue-collar,married,secondary,no,289,yes,no,unknown,6,jun,177,2,,0,unknown,0
id_17235,45,services,married,secondary,no,6909,no,no,unknown,12,jun,779,,,0,unknown,0
id_432,34,admin.,single,tertiary,no,1535,yes,no,cellular,15,may,45,1,352,5,failure,0
id_34397,32,technician,married,secondary,no,157,yes,yes,cellular,14,jul,114,2,,0,unknown,0
id_21998,45,technician,married,tertiary,no,1798,no,no,cellular,28,jan,367,2,,0,unknown,0
id_26604,31,services,single,secondary,no,1,no,no,cellular,29,jan,95,1,,0,unknown,0
id_39819,29,blue-collar,married,primary,no,342,no,no,telephone,20,nov,12,1,,0,unknown,0
id_44263,35,blue-collar,single,secondary,no,7124,no,no,unknown,20,jun,22,17,,0,unknown,0
id_2160,44,services,married,secondary,no,6348,yes,no,cellular,11,may,44,1,,0,unknown,0
id_17767,47,admin.,married,secondary,no,14442,yes,no,cellular,21,nov,76,1,,0,unknown,0
id_19058,47,blue-collar,married,unknown,no,3111,no,no,cellular,6,aug,187,2,,0,unknown,0
id_26195,44,entrepreneur,married,secondary,no,1,no,no,unknown,5,jun,1444,1,,0,unknown,1
id_31924,31,technician,single,secondary,no,141,no,no,cellular,20,nov,312,4,,0,unknown,0
id_37717,,admin.,single,secondary,no,16,yes,no,cellular,18,nov,1961,1,,0,unknown,1
id_29060,35,services,single,secondary,no,774,yes,no,cellular,3,feb,227,2,259,1,failure,0
id_8911,33,blue-collar,married,secondary,no,1789,yes,no,cellular,16,apr,371,2,,0,unknown,0
id_1573,37,technician,married,tertiary,no,-361,no,no,cellular,26,aug,98,2,,0,unknown,0
id_24865,39,management,single,tertiary,no,102,yes,no,cellular,8,may,342,1,,0,unknown,0
id_38363,29,blue-collar,divorced,secondary,no,247,yes,yes,unknown,7,may,137,2,,0,unknown,0
id_24467,38,management,married,secondary,no,1958,no,no,cellular,4,may,119,6,168,11,other,0
id_29835,31,blue-collar,divorced,secondary,no,876,yes,yes,cellular,29,jan,265,3,239,1,failure,0
id_6586,31,blue-collar,married,secondary,no,76,yes,yes,cellular,22,jul,282,1,,0,unknown,0
id_28746,49,admin.,married,secondary,no,208,no,no,unknown,17,may,10,1,,0,unknown,0
id_5003,21,student,single,secondary,no,4127,no,no,cellular,5,apr,916,4,185,7,failure,1
id_40985,,management,divorced,tertiary,no,6568,yes,no,cellular,17,nov,40,2,,0,unknown,0
id_6569,32,management,married,tertiary,no,1331,no,no,cellular,3,feb,199,2,90,1,success,1
id_41173,32,admin.,married,secondary,no,1161,yes,no,cellular,20,apr,40,2,,0,unknown,0
id_25792,56,admin.,married,unknown,no,0,yes,no,cellular,17,nov,206,1,186,2,failure,0
id_37251,48,technician,married,secondary,no,1941,yes,yes,cellular,6,aug,175,2,,0,unknown,0
id_31092,46,self-employed,married,secondary,no,1563,no,no,cellular,24,dec,532,3,133,3,failure,0
id_38404,39,services,married,secondary,no,200,no,no,cellular,30,jan,224,2,,0,unknown,0
id_8554,46,management,married,tertiary,no,509,no,no,cellular,23,apr,226,2,,0,unknown,1
id_15029,45,management,married,tertiary,no,0,no,no,cellular,16,jun,93,2,,0,unknown,0
id_30943,45,management,divorced,tertiary,no,542,yes,no,cellular,14,may,67,1,363,2,other,0
id_37122,53,blue-collar,married,primary,no,105,yes,no,unknown,27,may,122,2,,0,unknown,0
id_15059,28,admin.,married,secondary,no,-362,yes,yes,unknown,3,jun,102,1,,0,unknown,0
id_8277,37,technician,married,secondary,no,6387,yes,yes,cellular,18,nov,81,1,,0,unknown,0
id_4986,29,technician,single,secondary,no,-5,yes,no,cellular,6,may,192,1,,0,unknown,0
id_3477,35,blue-collar,married,primary,no,3150,yes,no,unknown,16,jun,248,3,,0,unknown,0
id_20139,61,admin.,married,secondary,no,3739,no,no,cellular,22,sep,178,1,184,11,success,1
id_30669,41,blue-collar,married,primary,no,571,no,no,cellular,2,feb,256,1,,0,unknown,0
id_6662,57,admin.,married,secondary,no,368,no,no,cellular,26,aug,128,12,,0,unknown,0
id_19191,57,housemaid,divorced,primary,yes,1234,no,no,unknown,5,jun,1551,1,,0,unknown,1
id_21254,29,technician,single,secondary,no,196,no,no,cellular,6,aug,319,2,,0,unknown,0
id_1854,49,admin.,married,secondary,no,424,yes,yes,cellular,20,oct,132,2,96,7,failure,0
id_8018,40,management,single,secondary,no,110,yes,no,telephone,27,aug,23,9,,0,unknown,0
id_17173,61,retired,married,secondary,no,602,yes,no,cellular,7,may,38,1,,0,unknown,0
id_12395,26,management,married,tertiary,no,122,yes,no,cellular,18,may,705,2,,0,unknown,0
id_30173,30,technician,single,secondary,no,2391,no,no,cellular,5,aug,115,1,,0,unknown,0
id_28773,31,management,married,tertiary,no,2732,yes,yes,unknown,23,may,49,1,,0,unknown,0
id_25001,40,services,married,secondary,no,434,yes,no,cellular,15,may,426,6,175,3,other,0
id_7740,24,blue-collar,single,secondary,no,2355,no,yes,unknown,27,may,113,1,,0,unknown,0
id_31742,33,management,single,tertiary,no,111,yes,no,cellular,15,jul,78,2,,0,unknown,0
id_17733,32,management,single,tertiary,no,3772,yes,no,cellular,9,feb,67,4,258,1,failure,0
id_17544,59,technician,married,secondary,no,134,yes,no,telephone,16,nov,436,13,96,1,other,0
id_24388,31,blue-collar,single,secondary,no,1033,yes,yes,cellular,16,apr,335,2,321,2,failure,0
id_37282,39,technician,married,secondary,no,1629,yes,no,unknown,19,may,215,3,,0,unknown,0
id_9354,53,services,married,secondary,no,529,yes,no,cellular,29,jul,124,2,,0,unknown,0
id_5295,31,management,single,tertiary,no,37,no,no,cellular,19,aug,174,2,,0,unknown,0
id_27973,57,self-employed,divorced,secondary,no,152,no,no,unknown,17,jun,830,3,,0,unknown,0
id_8221,30,blue-collar,single,secondary,no,2741,no,no,cellular,28,jan,448,1,,0,unknown,0
id_24454,35,management,married,tertiary,no,212,yes,no,unknown,21,may,1294,1,,0,unknown,0
id_39069,35,blue-collar,married,secondary,no,2693,yes,no,cellular,20,apr,442,1,,0,unknown,0
id_42906,36,technician,married,secondary,no,2200,no,no,telephone,12,apr,368,1,,0,unknown,1
id_30075,47,entrepreneur,married,secondary,no,7902,yes,yes,cellular,22,aug,381,2,,0,unknown,0
id_1091,35,blue-collar,married,secondary,no,177,yes,no,unknown,15,may,373,2,,0,unknown,0
id_7066,47,management,married,tertiary,no,267,yes,no,cellular,15,jul,92,2,,0,unknown,0
id_5183,29,management,married,tertiary,no,2,yes,no,unknown,23,may,205,1,,0,unknown,0
id_30044,47,management,married,secondary,no,-2,yes,no,unknown,14,may,80,4,,0,unknown,0
id_8234,33,technician,single,secondary,yes,-483,yes,no,cellular,17,apr,1065,1,,0,unknown,1
id_38753,54,self-employed,married,tertiary,no,544,no,no,telephone,6,feb,56,5,,0,unknown,0
id_13379,48,management,single,tertiary,no,34,no,yes,unknown,3,jul,173,1,,0,unknown,0
id_34404,52,management,divorced,tertiary,no,2910,yes,no,unknown,30,may,94,1,,0,unknown,0
id_24468,26,management,married,tertiary,no,245,yes,no,cellular,31,mar,354,2,257,1,other,0
id_25623,36,management,married,tertiary,no,289,no,yes,cellular,5,aug,139,1,,0,unknown,0
id_10179,31,entrepreneur,married,tertiary,no,280,yes,no,telephone,20,apr,37,5,349,2,failure,0
id_11522,33,management,married,tertiary,no,3297,yes,no,cellular,17,jun,471,2,227,4,failure,1
id_4391,54,technician,married,secondary,no,2312,yes,no,cellular,8,may,283,3,364,2,failure,0
id_38854,33,blue-collar,married,tertiary,no,11,yes,no,unknown,18,jun,128,3,,0,unknown,0
id_13422,28,admin.,single,secondary,no,-136,no,no,cellular,18,jul,106,1,,0,unknown,0
id_21695,52,blue-collar,married,primary,no,1014,yes,no,cellular,20,apr,78,1,,0,unknown,0
id_3135,34,self-employed,divorced,tertiary,no,1356,yes,no,cellular,14,may,1738,1,356,2,success,1
id_37846,,technician,married,secondary,no,274,no,no,cellular,25,aug,63,6,,0,unknown,0
id_36509,26,management,single,tertiary,no,125,no,yes,cellular,8,jul,177,1,,0,unknown,0
id_13799,37,management,married,tertiary,no,413,yes,no,cellular,7,apr,159,1,,0,unknown,0
id_39196,26,services,single,secondary,no,451,no,no,cellular,19,apr,129,2,,0,unknown,1
id_36681,31,technician,married,secondary,no,1094,yes,no,unknown,2,jun,108,3,,0,unknown,0
id_36349,51,management,married,tertiary,no,915,yes,no,unknown,9,may,246,4,,0,unknown,0
id_12332,28,management,married,tertiary,no,476,yes,no,cellular,21,nov,68,5,,0,unknown,0
id_40161,29,blue-collar,single,secondary,no,901,yes,yes,unknown,21,may,209,7,,0,unknown,0
id_4674,41,technician,divorced,secondary,no,2179,no,no,cellular,28,aug,188,10,,0,unknown,0
id_20621,35,student,single,unknown,no,39,yes,no,unknown,29,may,707,1,,0,unknown,0
id_4355,30,management,married,tertiary,no,352,yes,no,cellular,8,apr,73,2,289,2,other,0
id_14411,23,student,single,secondary,no,1745,no,no,cellular,21,aug,504,2,,0,unknown,0
id_44309,62,retired,divorced,secondary,no,1096,no,no,cellular,11,jul,756,2,,0,unknown,1
id_41257,44,admin.,married,secondary,no,-1093,yes,yes,cellular,31,jul,149,4,,0,unknown,0
id_9499,45,unemployed,married,secondary,no,1035,no,no,telephone,26,may,136,5,,0,unknown,0
id_23052,37,blue-collar,married,primary,no,-1,no,no,unknown,20,jun,612,4,,0,unknown,0
id_9698,36,technician,single,secondary,no,25,yes,no,cellular,18,may,75,2,333,2,failure,0
id_16340,48,blue-collar,married,primary,no,7096,no,no,cellular,6,aug,1461,7,,0,unknown,1
id_28472,33,management,single,secondary,no,356,yes,no,unknown,20,may,285,1,,0,unknown,0
id_9623,37,management,married,tertiary,no,2374,yes,yes,cellular,20,jul,183,2,215,6,other,0
id_44584,29,technician,married,secondary,no,27,no,no,cellular,21,aug,166,2,,0,unknown,0
id_33240,32,management,single,tertiary,no,1717,yes,no,unknown,21,may,288,2,,0,unknown,0
id_45071,32,blue-collar,married,secondary,no,-661,yes,yes,unknown,28,may,41,2,,0,unknown,0
id_13059,39,unemployed,single,secondary,no,358,yes,no,cellular,4,may,234,2,339,2,failure,0
id_18224,27,admin.,married,secondary,no,-2,yes,yes,cellular,26,may,83,1,,0,unknown,0
id_31537,20,blue-collar,single,primary,no,3201,yes,no,cellular,15,may,,1,352,2,failure,0
id_13306,32,services,married,secondary,no,1804,yes,no,telephone,6,feb,129,1,274,2,failure,0
id_9403,29,services,single,secondary,no,1,yes,no,cellular,18,may,127,6,363,9,failure,0
id_32626,32,technician,married,tertiary,no,4658,yes,yes,cellular,15,jul,149,2,,0,unknown,0
id_26418,42,management,single,tertiary,no,265,yes,no,cellular,31,jul,83,5,,0,unknown,0
id_23162,39,services,married,tertiary,no,-123,yes,no,unknown,21,may,286,1,,0,unknown,0
id_1029,61,retired,married,tertiary,no,-5,no,no,cellular,25,aug,106,3,,0,unknown,0
id_42110,52,management,married,secondary,no,428,yes,no,unknown,30,may,147,1,,0,unknown,0
id_36323,38,admin.,single,secondary,no,1061,yes,no,unknown,28,may,78,4,,0,unknown,0
id_40269,33,technician,single,secondary,no,-56,yes,no,unknown,30,may,57,2,,0,unknown,0
id_26788,39,technician,married,secondary,no,-3,yes,yes,cellular,21,nov,97,1,,0,unknown,0
id_40086,50,retired,divorced,primary,no,662,yes,no,cellular,15,may,3,5,,0,unknown,0
id_24053,41,blue-collar,divorced,unknown,no,536,no,no,unknown,16,may,157,2,,0,unknown,0
id_35556,42,management,married,tertiary,no,979,no,no,cellular,19,aug,158,1,,0,unknown,0
id_12380,44,blue-collar,married,secondary,no,7890,yes,no,cellular,4,feb,889,1,,0,unknown,1
id_23962,39,blue-collar,married,primary,no,2521,yes,no,unknown,15,may,258,4,,0,unknown,0
id_38766,42,management,married,secondary,no,108,no,no,unknown,17,jun,667,2,,0,unknown,1
id_41620,51,entrepreneur,married,primary,no,3339,yes,yes,unknown,16,may,216,1,,0,unknown,0
id_33357,46,blue-collar,married,secondary,no,1094,yes,yes,cellular,6,feb,178,2,,0,unknown,0
id_20894,60,management,divorced,tertiary,no,5697,no,no,cellular,30,apr,370,1,87,1,success,1
id_28169,32,blue-collar,married,secondary,no,717,yes,no,unknown,8,may,25,1,,0,unknown,0
id_27742,60,services,married,secondary,no,293,no,yes,cellular,22,jul,245,4,,0,unknown,0
id_33560,41,services,single,secondary,no,2,no,no,unknown,20,jun,209,2,,0,unknown,0
id_15592,44,unemployed,married,unknown,no,189,no,no,cellular,11,aug,692,2,,0,unknown,1
id_631,78,retired,married,secondary,no,8303,no,no,telephone,9,jun,730,1,64,12,failure,1
id_14561,42,blue-collar,married,primary,no,1068,no,no,cellular,30,jul,40,2,,0,unknown,0
id_27572,38,technician,married,secondary,no,0,no,no,cellular,11,mar,82,1,,0,unknown,0
id_43996,33,self-employed,single,tertiary,no,9958,no,no,cellular,20,aug,460,1,,0,unknown,1
id_33375,34,blue-collar,married,secondary,no,3879,yes,no,cellular,20,apr,9,5,,0,unknown,0
id_31485,39,blue-collar,married,tertiary,no,1988,yes,no,cellular,20,apr,114,2,,0,unknown,0
id_20716,54,retired,divorced,secondary,no,-57,no,yes,cellular,15,jul,353,10,,0,unknown,0
id_27323,38,management,married,tertiary,no,385,no,no,unknown,28,may,193,2,,0,unknown,0
id_10535,45,blue-collar,married,primary,no,296,yes,no,cellular,29,aug,969,4,,0,unknown,0
id_30179,53,admin.,married,secondary,no,-1601,no,yes,cellular,13,may,100,2,,0,unknown,0
id_14098,50,management,married,tertiary,no,5793,no,no,cellular,19,nov,642,1,,0,unknown,0
id_24707,39,self-employed,married,secondary,no,308,yes,no,unknown,20,may,716,2,,0,unknown,0
id_44497,,services,married,secondary,no,54,yes,no,telephone,13,may,20,9,,0,unknown,0
id_41422,61,retired,married,secondary,no,3,no,no,telephone,31,jul,566,20,,0,unknown,0
id_24787,39,services,divorced,secondary,no,5767,yes,yes,unknown,28,may,404,1,,0,unknown,0
id_3749,44,admin.,married,secondary,no,821,yes,no,unknown,30,may,146,2,,0,unknown,0
id_25153,45,blue-collar,divorced,primary,no,4,no,yes,unknown,4,jul,388,1,,0,unknown,0
id_30446,29,self-employed,single,primary,no,162,no,no,cellular,9,feb,211,3,,0,unknown,0
id_41826,31,blue-collar,single,secondary,no,565,yes,no,cellular,7,may,280,2,342,4,other,0
id_6035,64,unknown,married,unknown,no,2795,no,no,telephone,9,sep,375,4,,0,unknown,0
id_6093,51,management,divorced,tertiary,no,-808,yes,no,cellular,7,aug,135,3,,0,unknown,0
id_24245,30,admin.,married,secondary,no,410,yes,no,cellular,20,apr,83,3,341,2,failure,0
id_8154,26,admin.,married,secondary,no,319,yes,no,cellular,15,jul,681,2,,0,unknown,0
id_42494,51,blue-collar,married,secondary,no,736,no,yes,unknown,12,jun,129,1,,0,unknown,0
id_18025,33,technician,single,secondary,no,-414,yes,no,unknown,28,may,102,1,,0,unknown,0
id_15172,56,blue-collar,married,primary,no,-544,no,no,cellular,25,aug,1170,6,,0,unknown,1
